Manga,Editeurs,Genre,Publication,Volumes,VentesMillions,NombredeChapitre,Nombredefilm,Nombreepisode,Parution
One Piece,Shueisha,Shonen,En Cours,101,490000000,1043,15,1014,25,
Dragon Ball,Shueisha,Shonen,Terminé,42,300000000,519,19,153,11
Golgo13,Shogakukan,Seinen,En Cours,201,300000000,549,2,50,54
Naruto,Shueisha,Shonen,Terminé,72,250000000,700,11,722,15
Detective Conan,Shogakukan,Sh0nen,En Cours,100,250000000,1080,21,1000,24
SlamDunk,Shueisha,Shonen,Terminé,31,170000000,276,4,101,6
Doraemon,Shgakukan,Kodomo,Terminé,45,170000000,850,35,3947,27
KochiKame,Shueisha,Shonen,Terminé,200,156000000,1960,3,382,40
DemonS layer,Shueisha,Shonen,Terminé,23,150000000,205,1,33,4
Oishinbo,Shogakukan,Seinen,P,111,130000000,1039,2,136,31
Bleach,Shueisha,Shonen,Terminé,74,120000000,698,4,366,15
JoJos Bizarre Adventure,Shueisha,Seinen,En Cours,131,120000000,131,1,168,36
L'Attaque Des Titans,Kodansha,Sh_nen,Terminé,34,110000000,139,3,95,12
Touch,Shogakukan,Shonen,Terminé,26,100000000,248,5,101,5
Ippo,Kodansha,Shonen,En Cours,134,100000000,1374,2,127,43
Les Enquetes De Kindaichi,Kodansha,Sh_nen,En Cours,87,100000000,219,2,195,30
Astro LePetit Robot,AkitaShoten,Kodomo,Terminé,23,100000000,112,2,83,16
Ken Le Survivant,Shueisha,Shonen,Terminé,27,100000000,245,4,152,5
Kingdom,Shueisha,Seinen,En Cours,64,87000000,701,2,103,16
Baki The Grappler,AkitaShoten,Shonen,En Cours,143,85000000,1200,0,99,31
Vagabond,Kodansha,Seinen,En pause,37,82000000,322,0,0,27